Lastname	Firstname	Year	AB	H	X2B	X3B	HR
Ault	Doug	1977	445	109	22	3	11
Bailor	Bob	1977	496	154	21	5	5
Baker	Dusty	1977	533	155	26	1	30
Bando	Sal	1977	580	145	27	3	17
Bannister	Alan	1977	560	154	20	3	3
Baylor	Don	1977	561	141	27	0	25
Belanger	Mark	1977	402	83	13	4	2
Bell	Buddy	1977	479	140	23	4	11
Bench	Johnny	1977	494	136	34	2	31
Beniquez	Juan	1977	424	114	19	6	10
Biittner	Larry	1977	493	147	28	1	12
Bonds	Bobby	1977	592	156	23	9	37
Boone	Bob	1977	440	125	26	4	11
Bostock	Lyman	1977	593	199	36	12	14
Bowa	Larry	1977	624	175	19	3	4
Braun	Steve	1977	451	106	19	1	5
Brett	George	1977	564	176	32	13	22
Brock	Lou	1977	489	133	22	6	2
Buckner	Bill	1977	426	121	27	0	11
Bumbry	Al	1977	518	164	31	3	4
Burleson	Rick	1977	663	194	36	7	3
Burroughs	Jeff	1977	579	157	19	1	41
Cabell	Enos	1977	625	176	36	7	16
Campaneris	Bert	1977	552	140	19	7	5
Carew	Rod	1977	616	239	38	16	14
Carter	Gary	1977	522	148	29	2	31
Carty	Rico	1977	461	129	23	1	15
Cash	Dave	1977	650	188	42	7	0
Cedeno	Cesar	1977	530	148	36	8	14
Cey	Ron	1977	564	136	22	3	30
Chalk	Dave	1977	519	144	27	2	3
Chambliss	Chris	1977	600	172	32	6	17
Champion	Mike	1977	507	116	14	6	1
Clark	Jack	1977	413	104	17	4	13
Collins	Dave	1977	402	96	9	3	5
Concepcion	Dave	1977	572	155	26	3	8
Cooper	Cecil	1977	643	193	31	7	20
Cowens	Al	1977	606	189	32	14	23
Cromartie	Warren	1977	620	175	41	7	5
Cruz	Jose	1977	579	173	31	10	17
Cubbage	Mike	1977	417	110	16	5	9
Dade	Paul	1977	461	134	15	3	3
Dawson	Andre	1977	525	148	26	9	19
DeCinces	Doug	1977	522	135	28	3	19
DeJesus	Ivan	1977	624	166	31	7	3
Dent	Bucky	1977	477	118	18	4	8
Doyle	Denny	1977	455	109	13	6	2
Driessen	Dan	1977	536	161	31	4	17
Evans	Darrell	1977	461	117	18	3	17
Fairly	Ron	1977	458	128	24	2	19
Ferguson	Joe	1977	421	108	21	3	16
Fisk	Carlton	1977	536	169	26	3	26
Ford	Dan	1977	453	121	25	7	11
Foster	George	1977	615	197	31	2	52
Fuentes	Tito	1977	615	190	19	10	5
Gamble	Oscar	1977	408	121	22	2	31
Garner	Phil	1977	585	152	35	10	17
Garr	Ralph	1977	543	163	29	7	10
Garvey	Steve	1977	646	192	25	3	33
Geronimo	Cesar	1977	492	131	22	4	10
Gilbreath	Rod	1977	407	99	15	2	8
Griffey	Ken	1977	585	186	35	8	12
Gross	Wayne	1977	485	113	21	1	22
Hargrove	Mike	1977	525	160	28	4	18
Harrah	Toby	1977	539	142	25	5	27
Hendrick	George	1977	541	168	25	2	23
Hernandez	Keith	1977	560	163	41	4	15
Hisle	Larry	1977	546	165	36	3	28
Hobson	Butch	1977	593	157	33	5	30
Horton	Willie	1977	519	150	23	3	15
Howe	Art	1977	413	109	23	7	8
Ivie	Mike	1977	489	133	29	2	9
Jackson	Reggie	1977	525	150	39	2	32
Jones	Ruppert	1977	597	157	26	8	24
Joshua	Von	1977	536	140	25	7	9
Kemp	Steve	1977	552	142	29	4	18
Kuiper	Duane	1977	610	169	15	8	1
LeFlore	Ron	1977	652	212	30	10	16
Lemon	Chet	1977	553	151	38	4	19
Lezcano	Sixto	1977	400	109	21	4	21
Lopes	Davey	1977	502	142	19	5	11
Luzinski	Greg	1977	554	171	35	3	39
Lynn	Fred	1977	497	129	29	5	18
Maddox	Garry	1977	571	167	27	10	14
Madlock	Bill	1977	533	161	28	1	12
Matthews	Gary	1977	555	157	25	5	17
Mayberry	John	1977	543	125	22	1	23
May	Lee	1977	585	148	16	2	27
Mazzilli	Lee	1977	537	134	24	3	6
McCovey	Willie	1977	478	134	21	0	28
McRae	Hal	1977	641	191	54	11	21
Meyer	Dan	1977	582	159	24	4	22
Money	Don	1977	570	159	28	3	25
Montanez	Willie	1977	544	156	31	1	20
Morales	Jerry	1977	490	142	34	5	11
Moreno	Omar	1977	492	118	19	9	7
Morgan	Joe	1977	521	150	21	6	22
Mumphrey	Jerry	1977	463	133	20	10	2
Munson	Thurman	1977	595	183	28	5	18
Murcer	Bobby	1977	554	147	18	3	27
Murray	Eddie	1977	611	173	29	2	27
Nettles	Graig	1977	589	150	23	4	37
Norris	Jim	1977	440	119	23	6	2
Office	Rowland	1977	428	103	13	1	5
Oglivie	Ben	1977	450	118	24	2	21
Oliver	Al	1977	568	175	29	6	19
Ontiveros	Steve	1977	546	163	32	3	10
Orta	Jorge	1977	564	159	27	8	11
Otis	Amos	1977	478	120	20	8	17
Page	Mitchell	1977	501	154	28	8	21
Parker	Dave	1977	637	215	44	8	21
Parrish	Larry	1977	402	99	19	2	11
Patek	Freddie	1977	497	130	26	6	5
Perez	Tony	1977	559	158	32	6	19
Picciolo	Rob	1977	419	84	12	3	2
Porter	Darrell	1977	425	117	21	3	16
Randle	Len	1977	513	156	22	7	5
Randolph	Willie	1977	551	151	28	11	4
Reitz	Ken	1977	587	153	36	1	17
Remy	Jerry	1977	575	145	19	10	4
Reynolds	Craig	1977	420	104	12	3	4
Rice	Jim	1977	644	206	29	15	39
Richards	Gene	1977	525	152	16	11	5
Rivers	Mickey	1977	565	184	18	5	12
Robinson	Bill	1977	507	154	32	1	26
Rose	Pete	1977	655	204	38	7	9
Royster	Jerry	1977	445	96	10	2	6
Russell	Bill	1977	634	176	28	6	4
Sanguillen	Manny	1977	571	157	17	5	6
Schmidt	Mike	1977	544	149	27	11	38
Scott	George	1977	584	157	26	5	33
Simmons	Ted	1977	516	164	25	3	21
Singleton	Ken	1977	536	176	24	0	24
Sizemore	Ted	1977	519	146	20	3	4
Smalley	Roy	1977	584	135	21	5	6
Smith	Reggie	1977	488	150	27	4	32
Soderholm	Eric	1977	460	129	20	3	25
Speier	Chris	1977	531	125	30	6	5
Spencer	Jim	1977	470	116	16	1	18
Stanton	Leroy	1977	454	125	24	1	27
Staub	Rusty	1977	623	173	34	3	22
Stearns	John	1977	431	108	25	1	12
Stein	Bill	1977	556	144	26	5	13
Stennett	Rennie	1977	453	152	20	4	5
Sundberg	Jim	1977	453	132	20	3	6
Taveras	Frank	1977	544	137	20	10	1
Templeton	Garry	1977	621	200	19	18	8
Tenace	Gene	1977	437	102	24	4	15
Thomas	Derrel	1977	506	135	13	10	8
Thomasson	Gary	1977	446	114	24	6	17
Thompson	Jason	1977	585	158	24	5	31
Thornton	Andy	1977	433	114	20	5	28
Trillo	Manny	1977	504	141	18	5	7
Tyson	Mike	1977	418	103	15	2	7
Valentine	Ellis	1977	508	149	28	2	25
Washington	Claudell	1977	521	148	31	2	12
Watson	Bob	1977	554	160	38	6	22
White	Frank	1977	474	116	21	5	5
White	Roy	1977	519	139	25	2	14
Wills	Bump	1977	541	155	28	6	9
Winfield	Dave	1977	615	169	29	7	25
Woods	Al	1977	440	125	17	4	6
Wynegar	Butch	1977	532	139	22	3	10
Yastrzemski	Carl	1977	558	165	27	3	28
Yount	Robin	1977	605	174	34	4	4
Zisk	Richie	1977	531	154	17	6	30
Aikens	Willie	1980	543	151	24	0	20
Armas	Tony	1980	628	175	18	8	35
Baines	Harold	1980	491	125	23	6	13
Baker	Dusty	1980	579	170	26	4	29
Bell	Buddy	1980	490	161	24	4	17
Bochte	Bruce	1980	520	156	34	4	13
Bonnell	Barry	1980	463	124	22	4	13
Boone	Bob	1980	480	110	23	1	9
Bowa	Larry	1980	540	144	16	4	2
Brett	George	1980	449	175	33	9	24
Brookens	Tom	1980	509	140	25	9	10
Brown	Bobby	1980	412	107	12	5	14
Buckner	Bill	1980	578	187	41	3	10
Bumbry	Al	1980	645	205	29	9	9
Burleson	Rick	1980	644	179	29	2	8
Cabell	Enos	1980	604	167	23	8	2
Carew	Rod	1980	540	179	34	7	3
Carter	Gary	1980	549	145	25	5	29
Castino	John	1980	546	165	17	7	13
Cedeno	Cesar	1980	499	154	32	8	10
Cerone	Rick	1980	519	144	30	4	14
Cey	Ron	1980	551	140	25	0	28
Chambliss	Chris	1980	602	170	37	2	18
Charboneau	Joe	1980	453	131	17	2	23
Clark	Jack	1980	437	124	20	8	22
Collins	Dave	1980	551	167	20	4	3
Concepcion	Dave	1980	622	162	31	8	5
Cooper	Cecil	1980	622	219	33	4	25
Cowens	Al	1980	403	113	15	3	5
Cromartie	Warren	1980	597	172	33	5	14
Cruz	Jose	1980	612	185	29	7	11
Cruz	Julio	1980	422	88	9	3	2
Dauer	Rich	1980	557	158	32	0	2
Dawson	Andre	1980	577	178	41	7	17
DeCinces	Doug	1980	489	122	23	2	16
DeJesus	Ivan	1980	618	160	26	3	3
Dent	Bucky	1980	489	128	26	2	5
Dilone	Miguel	1980	528	180	30	9	0
Driessen	Dan	1980	524	139	36	1	14
Evans	Darrell	1980	556	147	23	0	20
Evans	Dwight	1980	463	123	37	5	18
Fisk	Carlton	1980	478	138	25	3	18
Flynn	Doug	1980	443	113	9	8	0
Foli	Tim	1980	495	131	22	0	3
Foster	George	1980	528	144	21	5	25
Gantner	Jim	1980	415	117	21	3	4
Garcia	Damaso	1980	543	151	30	7	4
Garner	Phil	1980	548	142	27	6	5
Garvey	Steve	1980	658	200	27	1	26
Grich	Bobby	1980	498	135	22	2	14
Griffin	Alfredo	1980	653	166	26	15	2
Griffey	Ken	1980	544	160	28	10	13
Hargrove	Mike	1980	589	179	22	2	11
Harrah	Toby	1980	561	150	22	4	11
Henderson	Rickey	1980	591	179	22	4	9
Henderson	Steve	1980	513	149	17	8	8
Hendrick	George	1980	572	173	33	2	25
Hernandez	Keith	1980	595	191	39	8	16
Herndon	Larry	1980	493	127	17	11	8
Horner	Bob	1980	463	124	14	1	35
Howell	Roy	1980	528	142	28	9	10
Hubbard	Glenn	1980	431	107	21	3	9
Jackson	Reggie	1980	514	154	22	4	41
Johnson	Lamar	1980	541	150	26	3	13
Kemp	Steve	1980	508	149	23	3	21
Knight	Ray	1980	618	163	39	7	14
Landreaux	Ken	1980	484	136	23	11	7
Lansford	Carney	1980	602	157	27	3	15
LeFlore	Ron	1980	521	134	21	11	4
LeMaster	Johnnie	1980	405	87	16	6	3
Lemon	Chet	1980	514	150	32	6	11
Lezcano	Sixto	1980	411	94	19	3	18
Lopes	Davey	1980	553	139	15	3	10
Lynn	Fred	1980	415	125	32	3	12
Maddox	Elliott	1980	411	101	16	1	4
Maddox	Garry	1980	549	142	31	3	11
Madlock	Bill	1980	494	137	22	4	10
Manning	Rick	1980	471	110	17	4	3
Martin	Jerry	1980	494	112	22	2	23
Matthews	Gary	1980	571	159	17	3	19
Mayberry	John	1980	501	124	19	2	30
Mazzilli	Lee	1980	578	162	31	4	16
McBride	Bake	1980	554	171	33	10	9
McRae	Hal	1980	489	145	39	5	14
Meyer	Dan	1980	531	146	25	6	11
Miller	Rick	1980	412	113	14	3	2
Molitor	Paul	1980	450	137	29	2	9
Montanez	Willie	1980	481	132	12	4	6
Moreno	Omar	1980	676	168	20	13	2
Morgan	Joe	1980	461	112	17	5	11
Morrison	Jim	1980	604	171	40	0	15
Mumphrey	Jerry	1980	564	168	24	3	4
Murphy	Dale	1980	569	160	27	2	33
Murphy	Dwayne	1980	573	157	18	2	13
Murray	Eddie	1980	621	186	36	2	32
Newman	Jeff	1980	438	102	19	1	15
Nordhagen	Wayne	1980	415	115	22	4	15
North	Billy	1980	415	104	12	1	1
Oberkfell	Ken	1980	422	128	27	6	3
Oglivie	Ben	1980	592	180	26	2	41
Oliver	Al	1980	656	209	43	3	19
Orta	Jorge	1980	481	140	18	3	10
Paciorek	Tom	1980	418	114	19	1	15
Parker	Dave	1980	518	153	31	1	17
Parrish	Larry	1980	452	115	27	3	15
Parrish	Lance	1980	553	158	34	6	24
Perez	Tony	1980	585	161	31	3	25
Peters	Rick	1980	477	139	19	7	2
Porter	Darrell	1980	418	104	14	2	7
Powell	Hosken	1980	485	127	17	5	6
Puhl	Terry	1980	535	151	24	5	13
Putnam	Pat	1980	410	108	16	2	13
Randle	Len	1980	489	135	19	6	5
Randolph	Willie	1980	513	151	23	7	7
Reitz	Ken	1980	523	141	33	0	8
Rice	Jim	1980	504	148	22	6	24
Richards	Gene	1980	642	193	26	8	4
Rivers	Mickey	1980	630	210	32	6	7
Rose	Pete	1980	655	185	42	1	1
Russell	Bill	1980	466	123	23	2	3
Schmidt	Mike	1980	548	157	25	8	48
Scott	Rodney	1980	567	127	13	13	0
Scott	Tony	1980	415	104	19	3	0
Simmons	Ted	1980	495	150	33	2	21
Singleton	Ken	1980	583	177	28	3	24
Smalley	Roy	1980	486	135	24	1	12
Smith	Ozzie	1980	609	140	18	5	0
Sofield	Rick	1980	417	103	18	4	9
Stapleton	Dave	1980	449	144	33	5	7
Sundberg	Jim	1980	505	138	24	1	10
Taveras	Frank	1980	562	157	27	0	0
Templeton	Garry	1980	504	161	19	9	4
Thomas	Gorman	1980	628	150	26	3	38
Trammell	Alan	1980	560	168	21	5	9
Trillo	Manny	1980	531	155	25	9	7
Washington	U.L.	1980	549	150	16	11	6
Wathan	John	1980	453	138	14	7	6
Watson	Bob	1980	469	144	25	3	13
Whitaker	Lou	1980	477	111	19	1	1
White	Frank	1980	560	148	23	4	7
Wilfong	Rob	1980	416	103	16	5	8
Wills	Bump	1980	578	152	31	5	5
Wilson	Willie	1980	705	230	28	15	3
Winfield	Dave	1980	558	154	25	6	20
Wynegar	Butch	1980	486	124	18	3	5
Youngblood	Joel	1980	514	142	26	2	8
Yount	Robin	1980	611	179	49	10	23
Zisk	Richie	1980	448	130	17	1	19
Alou	Moises	1994	422	143	31	5	22
Anderson	Brady	1994	453	119	25	5	12
Baerga	Carlos	1994	442	139	32	2	19
Bagwell	Jeff	1994	400	147	32	2	39
Bell	Derek	1994	434	135	20	0	14
Belle	Albert	1994	412	147	35	2	36
Bell	Jay	1994	424	117	35	4	9
Bichette	Dante	1994	484	147	33	2	27
Biggio	Craig	1994	437	139	44	5	6
Bonilla	Bobby	1994	403	117	24	1	20
Butler	Brett	1994	417	131	13	9	8
Caminiti	Ken	1994	406	115	28	2	18
Canseco	Jose	1994	429	121	19	2	31
Carr	Chuck	1994	433	114	19	2	2
Carter	Joe	1994	435	118	25	2	27
Coleman	Vince	1994	438	105	14	12	2
Conine	Jeff	1994	451	144	27	6	18
Cordero	Wil	1994	415	122	30	3	15
Curtis	Chad	1994	453	116	23	4	11
Fielder	Cecil	1994	425	110	16	2	28
Franco	Julio	1994	433	138	19	2	20
Fryman	Travis	1994	464	122	34	5	18
Galarraga	Andres	1994	417	133	21	0	31
Garcia	Carlos	1994	412	114	15	2	6
Gonzalez	Juan	1994	422	116	18	4	19
Grace	Mark	1994	403	120	23	3	6
Griffey_Jr.	Ken	1994	433	140	24	4	40
Grissom	Marquis	1994	475	137	25	4	11
Gwynn	Tony	1994	419	165	35	1	12
Hayes	Charlie	1994	423	122	23	4	10
Javier	Stan	1994	419	114	23	0	10
Johnson	Lance	1994	412	114	11	14	3
Karros	Eric	1994	406	108	21	1	14
Kent	Jeff	1994	415	121	24	5	14
Knoblauch	Chuck	1994	445	139	45	3	5
Lankford	Ray	1994	416	111	25	5	19
Larkin	Barry	1994	427	119	23	5	9
Lewis	Darren	1994	451	116	15	9	4
Lofton	Kenny	1994	459	160	32	9	12
McGriff	Fred	1994	424	135	25	1	34
McRae	Brian	1994	436	119	22	6	4
Molitor	Paul	1994	454	155	30	4	14
Mondesi	Raul	1994	434	133	27	8	16
Morris	Hal	1994	436	146	30	4	10
Murray	Eddie	1994	433	110	21	1	17
Palmeiro	Rafael	1994	436	139	32	0	23
Phillips	Tony	1994	438	123	19	3	19
Piazza	Mike	1994	405	129	18	0	24
Puckett	Kirby	1994	439	139	32	3	20
Ripken_Jr.	Cal	1994	444	140	19	3	13
Roberts	Bip	1994	403	129	15	5	2
Sanders	Reggie	1994	400	105	20	8	17
Sierra	Ruben	1994	426	114	21	1	23
Sosa	Sammy	1994	426	128	17	6	25
Sprague	Ed	1994	405	97	19	1	11
Ventura	Robin	1994	401	113	15	1	18
Vizcaino	Jose	1994	410	105	13	3	3
Wallach	Tim	1994	414	116	21	1	23
Weiss	Walt	1994	423	106	11	4	1
White	Devon	1994	403	109	24	6	13
Williams	Bernie	1994	408	118	29	1	12
Williams	Matt	1994	445	119	16	3	43
Zeile	Todd	1994	415	111	25	1	19
